Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
190822984,QRV1,19035135,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:34:27 PM,03/23/2019 05:35:21 PM,03/23/2019 05:35:26 PM,03/23/2019 05:35:51 PM,03/23/2019 05:39:10 PM,,,Code 2 Transport,03/23/2019 05:42:25 PM,400 Block of ELLIS ST,San Francisco,94102,B03,03,1461,3,3,3,true,Potentially Life-Threatening,1,SUPPORT,1,2,6,Tenderloin,"(37.78480738867744, -122.41361543826261)",190822984-QRV1
190822984,74,19035135,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:34:27 PM,03/23/2019 05:35:21 PM,03/23/2019 05:35:26 PM,03/23/2019 05:35:35 PM,03/23/2019 05:39:21 PM,03/23/2019 05:46:27 PM,03/23/2019 06:02:37 PM,Code 2 Transport,03/23/2019 06:32:19 PM,400 Block of ELLIS ST,San Francisco,94102,B03,03,1461,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,2,6,Tenderloin,"(37.78480738867744, -122.41361543826261)",190822984-74
190822973,AM118,19035134,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:32:47 PM,03/23/2019 05:32:47 PM,03/23/2019 05:32:58 PM,03/23/2019 05:33:23 PM,03/23/2019 05:47:45 PM,03/23/2019 05:59:38 PM,03/23/2019 06:17:36 PM,Code 2 Transport,03/23/2019 06:43:41 PM,ARELIOUS WALKER DR/EGBERT AV,San Francisco,94124,B10,17,6611,C,3,3,false,Non Life-threatening,1,PRIVATE,1,10,10,Bayview Hunters Point,"(37.71840736429166, -122.38515706429105)",190822973-AM118
190822954,T10,19035133,Other,03/23/2019,03/23/2019,03/23/2019 05:28:52 PM,03/23/2019 05:28:52 PM,03/23/2019 05:29:00 PM,03/23/2019 05:29:54 PM,03/23/2019 05:33:19 PM,,,Fire,03/23/2019 05:58:21 PM,2600 Block of TURK BL,San Francisco,94118,B05,21,4564,A,3,3,false,Alarm,1,TRUCK,1,5,1,Lone Mountain/USF,"(37.778166562848654, -122.45020004273614)",190822954-T10
190822939,E22,19035132,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:22:45 PM,03/23/2019 05:24:14 PM,03/23/2019 05:24:25 PM,03/23/2019 05:25:30 PM,03/23/2019 05:27:47 PM,,,Code 2 Transport,03/23/2019 05:46:07 PM,1300 Block of 26TH AVE,San Francisco,94122,B08,22,7511,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,8,4,Sunset/Parkside,"(37.76230374639333, -122.48449233053837)",190822939-E22
190822939,75,19035132,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:22:45 PM,03/23/2019 05:24:14 PM,03/23/2019 05:24:25 PM,03/23/2019 05:24:29 PM,03/23/2019 05:38:23 PM,03/23/2019 05:49:19 PM,03/23/2019 06:05:28 PM,Code 2 Transport,03/23/2019 06:35:49 PM,1300 Block of 26TH AVE,San Francisco,94122,B08,22,7511,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,8,4,Sunset/Parkside,"(37.76230374639333, -122.48449233053837)",190822939-75
190822925,RC3,19035131,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:20:54 PM,03/23/2019 05:21:11 PM,03/23/2019 05:21:36 PM,03/23/2019 05:22:24 PM,,,,Medical Examiner,03/23/2019 05:27:02 PM,0 Block of AQUAVISTA WAY,San Francisco,94131,B08,20,5362,E,2,2,true,Non Life-threatening,1,RESCUE CAPTAIN,3,8,7,Twin Peaks,"(37.75255746894399, -122.44935160612688)",190822925-RC3
190822925,KM11,19035131,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:20:54 PM,03/23/2019 05:21:11 PM,03/23/2019 05:21:36 PM,03/23/2019 05:22:33 PM,03/23/2019 05:36:10 PM,,,Medical Examiner,03/23/2019 05:58:50 PM,0 Block of AQUAVISTA WAY,San Francisco,94131,B08,20,5362,E,2,2,false,Non Life-threatening,1,PRIVATE,2,8,7,Twin Peaks,"(37.75255746894399, -122.44935160612688)",190822925-KM11
190822925,E20,19035131,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:20:54 PM,03/23/2019 05:21:11 PM,03/23/2019 05:21:36 PM,03/23/2019 05:23:29 PM,03/23/2019 05:25:21 PM,,,Medical Examiner,03/23/2019 05:42:16 PM,0 Block of AQUAVISTA WAY,San Francisco,94131,B08,20,5362,E,2,2,true,Non Life-threatening,1,ENGINE,1,8,7,Twin Peaks,"(37.75255746894399, -122.44935160612688)",190822925-E20
190822895,KM13,19035130,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:14:21 PM,03/23/2019 05:15:31 PM,03/23/2019 05:15:53 PM,03/23/2019 05:16:29 PM,03/23/2019 05:31:59 PM,03/23/2019 05:34:11 PM,03/23/2019 06:19:05 PM,Code 2 Transport,03/23/2019 06:20:35 PM,0 Block of BERTHA LN,San Francisco,94124,B10,17,6631,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,10,10,Bayview Hunters Point,"(37.73322563963469, -122.38089850716159)",190822895-KM13
190822895,E17,19035130,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:14:21 PM,03/23/2019 05:15:31 PM,03/23/2019 05:15:53 PM,03/23/2019 05:17:36 PM,03/23/2019 05:20:13 PM,,,Code 2 Transport,03/23/2019 05:35:14 PM,0 Block of BERTHA LN,San Francisco,94124,B10,17,6631,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.73322563963469, -122.38089850716159)",190822895-E17
190822863,T11,19035129,Alarms,03/23/2019,03/23/2019,03/23/2019 05:09:41 PM,03/23/2019 05:11:01 PM,03/23/2019 05:11:37 PM,03/23/2019 05:12:21 PM,,,,Fire,03/23/2019 05:13:00 PM,1500 Block of VALENCIA ST,San Francisco,94110,B06,11,5612,3,3,3,false,Alarm,1,TRUCK,2,6,8,Mission,"(37.74851173892113, -122.42038524631779)",190822863-T11
190822863,E11,19035129,Alarms,03/23/2019,03/23/2019,03/23/2019 05:09:41 PM,03/23/2019 05:11:01 PM,03/23/2019 05:11:37 PM,03/23/2019 05:12:05 PM,03/23/2019 05:14:09 PM,,,Fire,03/23/2019 05:31:28 PM,1500 Block of VALENCIA ST,San Francisco,94110,B06,11,5612,3,3,3,true,Alarm,1,ENGINE,1,6,8,Mission,"(37.74851173892113, -122.42038524631779)",190822863-E11
190822863,B06,19035129,Alarms,03/23/2019,03/23/2019,03/23/2019 05:09:41 PM,03/23/2019 05:11:01 PM,03/23/2019 05:11:37 PM,,,,,Fire,03/23/2019 05:12:46 PM,1500 Block of VALENCIA ST,San Francisco,94110,B06,11,5612,3,3,3,false,Alarm,1,CHIEF,3,6,8,Mission,"(37.74851173892113, -122.42038524631779)",190822863-B06
190822854,T07,19035128,Alarms,03/23/2019,03/23/2019,03/23/2019 05:06:59 PM,03/23/2019 05:08:52 PM,03/23/2019 05:09:38 PM,,,,,Fire,03/23/2019 05:11:27 PM,3100 Block of 24TH ST,San Francisco,94110,B06,07,5526,3,3,3,false,Alarm,1,TRUCK,3,6,9,Mission,"(37.75246098461753, -122.41572421392488)",190822854-T07
190822854,E07,19035128,Alarms,03/23/2019,03/23/2019,03/23/2019 05:06:59 PM,03/23/2019 05:08:52 PM,03/23/2019 05:09:38 PM,03/23/2019 05:11:28 PM,03/23/2019 05:12:48 PM,,,Fire,03/23/2019 05:27:01 PM,3100 Block of 24TH ST,San Francisco,94110,B06,07,5526,3,3,3,true,Alarm,1,ENGINE,1,6,9,Mission,"(37.75246098461753, -122.41572421392488)",190822854-E07
190822854,B06,19035128,Alarms,03/23/2019,03/23/2019,03/23/2019 05:06:59 PM,03/23/2019 05:08:52 PM,03/23/2019 05:09:38 PM,,,,,Fire,03/23/2019 05:11:30 PM,3100 Block of 24TH ST,San Francisco,94110,B06,07,5526,3,3,3,false,Alarm,1,CHIEF,2,6,9,Mission,"(37.75246098461753, -122.41572421392488)",190822854-B06
190822851,KM11,19035127,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:06:15 PM,03/23/2019 05:08:14 PM,03/23/2019 05:21:20 PM,,,,,Code 2 Transport,03/23/2019 05:21:34 PM,400 Block of ELLIS ST,San Francisco,94102,B03,03,1461,2,2,2,false,Non Life-threatening,1,PRIVATE,3,2,6,Tenderloin,"(37.78480738867744, -122.41361543826261)",190822851-KM11
190822851,E03,19035127,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:06:15 PM,03/23/2019 05:08:14 PM,03/23/2019 05:08:31 PM,03/23/2019 05:09:57 PM,03/23/2019 05:16:37 PM,,,Code 2 Transport,03/23/2019 05:32:40 PM,400 Block of ELLIS ST,San Francisco,94102,B03,03,1461,2,2,2,true,Non Life-threatening,1,ENGINE,1,2,6,Tenderloin,"(37.78480738867744, -122.41361543826261)",190822851-E03
190822851,AM114,19035127,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:06:15 PM,03/23/2019 05:08:14 PM,03/23/2019 05:22:04 PM,03/23/2019 05:22:27 PM,03/23/2019 05:28:15 PM,03/23/2019 05:35:18 PM,03/23/2019 06:02:17 PM,Code 2 Transport,03/23/2019 06:32:05 PM,400 Block of ELLIS ST,San Francisco,94102,B03,03,1461,2,2,2,false,Non Life-threatening,1,PRIVATE,2,2,6,Tenderloin,"(37.78480738867744, -122.41361543826261)",190822851-AM114
190822840,67,19035126,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:06:29 PM,03/23/2019 05:06:29 PM,03/23/2019 05:07:15 PM,03/23/2019 05:07:19 PM,03/23/2019 05:32:48 PM,03/23/2019 05:39:25 PM,03/23/2019 05:57:41 PM,Code 2 Transport,03/23/2019 06:25:48 PM,100 Block of MENDOSA AVE,San Francisco,94116,B08,40,8625,B,2,2,true,Non Life-threatening,1,MEDIC,1,8,7,West of Twin Peaks,"(37.7480008192321, -122.46708070465321)",190822840-67
190822838,RC1,19035125,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:05:38 PM,03/23/2019 05:06:23 PM,03/23/2019 05:09:10 PM,03/23/2019 05:09:14 PM,,,,Medical Examiner,03/23/2019 05:16:51 PM,700 Block of GOLDEN GATE AVE,San Francisco,94102,B02,05,0326,3,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,3,2,5,Western Addition,"(37.780662104249124, -122.42289792441836)",190822838-RC1
190822838,E36,19035125,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:05:38 PM,03/23/2019 05:06:23 PM,03/23/2019 05:06:44 PM,03/23/2019 05:08:30 PM,03/23/2019 05:10:57 PM,,,Medical Examiner,03/23/2019 05:39:54 PM,700 Block of GOLDEN GATE AVE,San Francisco,94102,B02,05,0326,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,5,Western Addition,"(37.780662104249124, -122.42289792441836)",190822838-E36
190822838,74,19035125,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:05:38 PM,03/23/2019 05:06:23 PM,03/23/2019 05:06:44 PM,03/23/2019 05:06:55 PM,03/23/2019 05:14:30 PM,,,Medical Examiner,03/23/2019 05:30:53 PM,700 Block of GOLDEN GATE AVE,San Francisco,94102,B02,05,0326,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,2,5,Western Addition,"(37.780662104249124, -122.42289792441836)",190822838-74
190822836,QRV1,19035124,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:04:56 PM,03/23/2019 05:05:51 PM,03/23/2019 05:06:13 PM,03/23/2019 05:06:17 PM,03/23/2019 05:11:47 PM,,,Code 2 Transport,03/23/2019 05:20:59 PM,MISSION ST/4TH ST,San Francisco,94103,B03,01,2213,2,2,2,true,Non Life-threatening,1,SUPPORT,1,3,6,South of Market,"(37.78447874397072, -122.40426687250122)",190822836-QRV1
190822836,AM116,19035124,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:04:56 PM,03/23/2019 05:05:51 PM,03/23/2019 05:06:13 PM,03/23/2019 05:06:36 PM,03/23/2019 05:17:53 PM,03/23/2019 05:30:54 PM,03/23/2019 05:46:21 PM,Code 2 Transport,03/23/2019 06:11:22 PM,MISSION ST/4TH ST,San Francisco,94103,B03,01,2213,2,2,2,false,Non Life-threatening,1,PRIVATE,2,3,6,South of Market,"(37.78447874397072, -122.40426687250122)",190822836-AM116
190822834,RC4,19035123,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:03:28 PM,03/23/2019 05:05:33 PM,03/23/2019 05:05:41 PM,03/23/2019 05:07:44 PM,03/23/2019 05:13:31 PM,,,Code 3 Transport,03/23/2019 05:30:13 PM,300 Block of BRIGHT ST,San Francisco,94132,B09,33,8414,3,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,1,9,11,Oceanview/Merced/Ingleside,"(37.717033074087205, -122.46346233971691)",190822834-RC4
190822834,E33,19035123,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:03:28 PM,03/23/2019 05:05:33 PM,03/23/2019 05:05:41 PM,03/23/2019 05:06:15 PM,,,,Code 3 Transport,03/23/2019 06:04:09 PM,300 Block of BRIGHT ST,San Francisco,94132,B09,33,8414,3,3,3,true,Potentially Life-Threatening,1,ENGINE,3,9,11,Oceanview/Merced/Ingleside,"(37.717033074087205, -122.46346233971691)",190822834-E33
190822834,93,19035123,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:03:28 PM,03/23/2019 05:05:33 PM,03/23/2019 05:05:41 PM,03/23/2019 05:05:47 PM,03/23/2019 05:23:21 PM,03/23/2019 05:29:05 PM,03/23/2019 05:40:38 PM,Code 3 Transport,03/23/2019 06:25:23 PM,300 Block of BRIGHT ST,San Francisco,94132,B09,33,8414,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,9,11,Oceanview/Merced/Ingleside,"(37.717033074087205, -122.46346233971691)",190822834-93
190822827,52,19035122,Medical Incident,03/23/2019,03/23/2019,03/23/2019 05:04:07 PM,03/23/2019 05:04:07 PM,03/23/2019 05:04:29 PM,03/23/2019 05:04:41 PM,03/23/2019 05:10:04 PM,03/23/2019 05:20:24 PM,03/23/2019 05:24:31 PM,Code 2 Transport,03/23/2019 05:44:56 PM,500 Block of GEARY ST,San Francisco,94102,B01,03,1462,A,2,2,true,Non Life-threatening,1,MEDIC,1,1,3,Tenderloin,"(37.78694134061643, -122.41193902112771)",190822827-52
190822804,E44,19035121,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:57:55 PM,03/23/2019 04:58:52 PM,03/23/2019 04:59:08 PM,03/23/2019 05:00:08 PM,03/23/2019 05:04:18 PM,,,Code 3 Transport,03/23/2019 05:20:42 PM,400 Block of VELASCO AV,San Francisco,94134,B09,44,6251,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,9,10,Visitacion Valley,"(37.70916585945451, -122.41636315165543)",190822804-E44
190822804,63,19035121,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:57:55 PM,03/23/2019 04:58:52 PM,03/23/2019 04:59:08 PM,03/23/2019 04:59:52 PM,03/23/2019 05:08:59 PM,03/23/2019 05:30:55 PM,03/23/2019 05:48:00 PM,Code 3 Transport,03/23/2019 06:27:06 PM,400 Block of VELASCO AV,San Francisco,94134,B09,44,6251,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,9,10,Visitacion Valley,"(37.70916585945451, -122.41636315165543)",190822804-63
190822801,T11,19035120,Alarms,03/23/2019,03/23/2019,03/23/2019 04:57:04 PM,03/23/2019 04:58:05 PM,03/23/2019 04:58:18 PM,03/23/2019 04:59:07 PM,,,,Fire,03/23/2019 05:10:02 PM,1500 Block of VALENCIA ST,San Francisco,94110,B06,11,5612,3,3,3,false,Alarm,1,TRUCK,3,6,8,Mission,"(37.74851173892113, -122.42038524631779)",190822801-T11
190822801,E11,19035120,Alarms,03/23/2019,03/23/2019,03/23/2019 04:57:04 PM,03/23/2019 04:58:05 PM,03/23/2019 04:58:18 PM,03/23/2019 04:58:30 PM,03/23/2019 04:59:18 PM,,,Fire,03/23/2019 05:08:44 PM,1500 Block of VALENCIA ST,San Francisco,94110,B06,11,5612,3,3,3,true,Alarm,1,ENGINE,1,6,8,Mission,"(37.74851173892113, -122.42038524631779)",190822801-E11
190822801,B06,19035120,Alarms,03/23/2019,03/23/2019,03/23/2019 04:57:04 PM,03/23/2019 04:58:05 PM,03/23/2019 04:58:18 PM,03/23/2019 04:59:56 PM,03/23/2019 05:01:38 PM,,,Fire,03/23/2019 05:07:15 PM,1500 Block of VALENCIA ST,San Francisco,94110,B06,11,5612,3,3,3,false,Alarm,1,CHIEF,2,6,8,Mission,"(37.74851173892113, -122.42038524631779)",190822801-B06
190822790,81,19035119,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:53:10 PM,03/23/2019 04:55:37 PM,03/23/2019 04:55:54 PM,03/23/2019 04:56:02 PM,03/23/2019 05:12:09 PM,03/23/2019 05:42:01 PM,03/23/2019 06:00:14 PM,Code 2 Transport,03/23/2019 06:41:13 PM,100 Block of CAPP ST,San Francisco,94110,B02,07,5236,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,9,Mission,"(37.76429101551029, -122.41868941673312)",190822790-81
190822781,53,19035118,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:52:42 PM,03/23/2019 04:54:18 PM,03/23/2019 04:54:30 PM,03/23/2019 04:54:35 PM,03/23/2019 05:16:12 PM,03/23/2019 05:16:19 PM,03/23/2019 05:37:27 PM,Code 2 Transport,03/23/2019 06:01:05 PM,600 Block of BRYANT ST,San Francisco,94107,B03,08,2242,2,2,2,true,Non Life-threatening,1,MEDIC,1,3,6,South of Market,"(37.77872189500361, -122.39922768262916)",190822781-53
190822760,AM108,19035117,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:47:48 PM,03/23/2019 04:50:25 PM,03/23/2019 04:50:39 PM,03/23/2019 04:51:00 PM,03/23/2019 05:02:46 PM,03/23/2019 05:17:05 PM,03/23/2019 05:36:51 PM,Code 2 Transport,03/23/2019 06:13:33 PM,100 Block of EDDY ST,San Francisco,94102,B03,03,1453,2,2,2,false,Non Life-threatening,1,PRIVATE,1,3,6,Tenderloin,"(37.7842993825154, -122.41014131985163)",190822760-AM108
190822732,T03,19035116,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:44:57 PM,03/23/2019 04:45:51 PM,03/23/2019 04:46:08 PM,03/23/2019 04:46:16 PM,03/23/2019 04:48:21 PM,,,Code 3 Transport,03/23/2019 05:09:08 PM,1000 Block of EDDY ST,San Francisco,94109,B02,05,3262,3,3,3,false,Potentially Life-Threatening,1,TRUCK,1,2,5,Western Addition,"(37.782321233596825, -122.42576330376026)",190822732-T03
190822732,E38,19035116,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:44:57 PM,03/23/2019 04:45:51 PM,03/23/2019 04:47:29 PM,03/23/2019 04:48:27 PM,03/23/2019 04:51:05 PM,,,Code 3 Transport,03/23/2019 05:37:06 PM,1000 Block of EDDY ST,San Francisco,94109,B02,05,3262,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,2,5,Western Addition,"(37.782321233596825, -122.42576330376026)",190822732-E38
190822732,58,19035116,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:44:57 PM,03/23/2019 04:45:51 PM,03/23/2019 04:46:08 PM,03/23/2019 04:46:11 PM,03/23/2019 04:55:11 PM,03/23/2019 05:17:30 PM,03/23/2019 05:21:15 PM,Code 3 Transport,03/23/2019 06:11:21 PM,1000 Block of EDDY ST,San Francisco,94109,B02,05,3262,3,3,3,true,Potentially Life-Threatening,1,MEDIC,3,2,5,Western Addition,"(37.782321233596825, -122.42576330376026)",190822732-58
190822697,E21,19035115,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:37:17 PM,03/23/2019 04:38:57 PM,03/23/2019 04:39:29 PM,03/23/2019 04:41:57 PM,03/23/2019 04:43:43 PM,,,Code 2 Transport,03/23/2019 04:50:26 PM,ASHBURY ST/OAK ST,San Francisco,94117,B05,21,4513,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,5,5,Haight Ashbury,"(37.77187774156615, -122.44731242078385)",190822697-E21
190822697,64,19035115,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:37:17 PM,03/23/2019 04:38:57 PM,03/23/2019 04:39:29 PM,03/23/2019 04:39:39 PM,03/23/2019 04:47:17 PM,03/23/2019 05:05:05 PM,03/23/2019 05:37:29 PM,Code 2 Transport,03/23/2019 05:54:21 PM,ASHBURY ST/OAK ST,San Francisco,94117,B05,21,4513,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,5,5,Haight Ashbury,"(37.77187774156615, -122.44731242078385)",190822697-64
190822695,T01,19035114,Alarms,03/23/2019,03/23/2019,03/23/2019 04:37:21 PM,03/23/2019 04:38:44 PM,03/23/2019 04:39:53 PM,03/23/2019 04:42:50 PM,,,,Fire,03/23/2019 04:52:30 PM,100 Block of POWELL ST,San Francisco,94102,B03,03,1363,3,3,3,false,Alarm,1,TRUCK,3,3,3,Tenderloin,"(37.78594197069232, -122.40801273025853)",190822695-T01
190822695,E03,19035114,Alarms,03/23/2019,03/23/2019,03/23/2019 04:37:21 PM,03/23/2019 04:38:44 PM,03/23/2019 04:41:51 PM,03/23/2019 04:41:51 PM,03/23/2019 04:43:19 PM,,,Fire,03/23/2019 04:50:49 PM,100 Block of POWELL ST,San Francisco,94102,B03,03,1363,3,3,3,true,Alarm,1,ENGINE,1,3,3,Tenderloin,"(37.78594197069232, -122.40801273025853)",190822695-E03
190822695,E02,19035114,Alarms,03/23/2019,03/23/2019,03/23/2019 04:37:21 PM,03/23/2019 04:38:44 PM,03/23/2019 04:39:53 PM,,,,,Fire,03/23/2019 04:41:51 PM,100 Block of POWELL ST,San Francisco,94102,B03,03,1363,3,3,3,true,Alarm,1,ENGINE,4,3,3,Tenderloin,"(37.78594197069232, -122.40801273025853)",190822695-E02
190822695,B01,19035114,Alarms,03/23/2019,03/23/2019,03/23/2019 04:37:21 PM,03/23/2019 04:38:44 PM,03/23/2019 04:39:53 PM,03/23/2019 04:41:24 PM,03/23/2019 04:45:27 PM,,,Fire,03/23/2019 04:52:59 PM,100 Block of POWELL ST,San Francisco,94102,B03,03,1363,3,3,3,false,Alarm,1,CHIEF,2,3,3,Tenderloin,"(37.78594197069232, -122.40801273025853)",190822695-B01
190822694,KM02,19035113,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:36:30 PM,03/23/2019 04:38:25 PM,03/23/2019 04:38:46 PM,03/23/2019 04:39:29 PM,03/23/2019 04:48:06 PM,03/23/2019 05:26:03 PM,03/23/2019 05:41:25 PM,Code 2 Transport,03/23/2019 06:05:27 PM,200 Block of TAYLOR ST,San Francisco,94102,B03,03,1453,3,3,3,false,Non Life-threatening,1,PRIVATE,1,3,6,Tenderloin,"(37.78461648002511, -122.41097737138615)",190822694-KM02
190822680,T12,19035112,Structure Fire,03/23/2019,03/23/2019,03/23/2019 04:36:34 PM,03/23/2019 04:36:34 PM,03/23/2019 04:36:55 PM,03/23/2019 04:38:15 PM,,,,Fire,03/23/2019 04:41:16 PM,9TH AV/LAWTON ST,San Francisco,94122,B08,22,7335,3,3,3,false,Alarm,1,TRUCK,2,8,7,Inner Sunset,"(37.75844459479957, -122.46591998484034)",190822680-T12
190822680,E22,19035112,Structure Fire,03/23/2019,03/23/2019,03/23/2019 04:36:34 PM,03/23/2019 04:36:34 PM,03/23/2019 04:36:55 PM,03/23/2019 04:37:37 PM,03/23/2019 04:41:15 PM,,,Fire,03/23/2019 04:41:20 PM,9TH AV/LAWTON ST,San Francisco,94122,B08,22,7335,3,3,3,true,Alarm,1,ENGINE,1,8,7,Inner Sunset,"(37.75844459479957, -122.46591998484034)",190822680-E22
190822677,91,19035111,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:35:36 PM,03/23/2019 04:35:36 PM,03/23/2019 04:36:11 PM,03/23/2019 04:36:14 PM,03/23/2019 04:58:19 PM,03/23/2019 05:19:14 PM,03/23/2019 05:40:21 PM,Code 2 Transport,03/23/2019 06:11:32 PM,1100 Block of FILLMORE ST,San Francisco,94115,B05,05,3535,B,2,2,true,Non Life-threatening,1,MEDIC,1,5,5,Western Addition,"(37.780021494942154, -122.4321144239413)",190822677-91
190822673,AM114,19035110,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:34:52 PM,03/23/2019 04:34:52 PM,03/23/2019 04:35:13 PM,03/23/2019 04:36:18 PM,03/23/2019 04:55:33 PM,,,SFPD,03/23/2019 05:13:27 PM,700 Block of PARKER AVE,San Francisco,94118,B05,21,4542,A,2,2,false,Non Life-threatening,1,PRIVATE,1,5,1,Lone Mountain/USF,"(37.775363964755115, -122.4529553436113)",190822673-AM114
190822669,KM06,19035109,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:33:13 PM,03/23/2019 04:34:03 PM,03/23/2019 04:34:29 PM,03/23/2019 04:35:04 PM,03/23/2019 04:47:28 PM,03/23/2019 05:14:21 PM,03/23/2019 05:30:43 PM,Code 2 Transport,03/23/2019 05:59:03 PM,GOUGH ST/MARKET ST,San Francisco,94103,B02,36,5115,2,2,2,false,Non Life-threatening,1,PRIVATE,2,2,5,Hayes Valley,"(37.772909122519216, -122.42218643999836)",190822669-KM06
190822669,E36,19035109,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:33:13 PM,03/23/2019 04:34:03 PM,03/23/2019 04:34:29 PM,03/23/2019 04:35:26 PM,03/23/2019 04:38:33 PM,,,Code 2 Transport,03/23/2019 04:49:49 PM,GOUGH ST/MARKET ST,San Francisco,94103,B02,36,5115,2,2,2,true,Non Life-threatening,1,ENGINE,1,2,5,Hayes Valley,"(37.772909122519216, -122.42218643999836)",190822669-E36
190822665,E07,19035108,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:29:02 PM,03/23/2019 04:32:32 PM,03/23/2019 04:33:27 PM,03/23/2019 04:34:04 PM,03/23/2019 04:37:39 PM,,,No Merit,03/23/2019 04:39:37 PM,3500 Block of 19TH ST,San Francisco,94110,B06,07,5434,2,3,3,true,Potentially Life-Threatening,1,ENGINE,1,6,8,Mission,"(37.76013089639431, -122.42184698126273)",190822665-E07
190822655,E11,19035105,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:28:10 PM,03/23/2019 04:29:58 PM,03/23/2019 04:30:35 PM,03/23/2019 04:31:17 PM,03/23/2019 04:38:21 PM,,,Against Medical Advice,03/23/2019 04:44:28 PM,MISSION ST/24TH ST,San Francisco,94110,B06,11,5525,2,2,2,true,Non Life-threatening,1,ENGINE,1,6,9,Mission,"(37.75223945497915, -122.41844527285122)",190822655-E11
190822655,AM104,19035105,Medical Incident,03/23/2019,03/23/2019,03/23/2019 04:28:10 PM,03/23/2019 04:29:58 PM,03/23/2019 04:30:35 PM,03/23/2019 04:31:07 PM,03/23/2019 04:40:58 PM,,,Against Medical Advice,03/23/2019 05:14:40 PM,MISSION ST/24TH ST,San Francisco,94110,B06,11,5525,2,2,2,false,Non Life-threatening,1,PRIVATE,2,6,9,Mission,"(37.75223945497915, -122.41844527285122)",190822655-AM104
